title,scope,level,language,topic
Understanding Email Phishing (Tactics),Learn the fundamental principles of Email Phishing (Tactics) and how to apply them in real-world scenarios.,Advanced,Arabic,Email Phishing (Tactics)
Understanding Security Controls,Learn the fundamental principles of Security Controls and how to apply them in real-world scenarios.,Expert,English,Security Controls
Understanding Bring Your Own Device (BYOD),Explore advanced techniques and strategies to mitigate risks related to Bring Your Own Device (BYOD).,Beginner,Arabic,Bring Your Own Device (BYOD)
Best Practices for Email Phishing Intro,Gain critical insights into Email Phishing Intro and its impact on modern cybersecurity.,Beginner,Arabic,Email Phishing Intro
Navigating the World of Operation Technology,Learn the fundamental principles of Operation Technology and how to apply them in real-world scenarios.,Advanced,English,Operation Technology
Best Practices for Laundering,Develop robust policies and procedures to enhance your organization's Laundering posture.,Intermediate,English,Laundering
Essentials of Financial Security,Explore advanced techniques and strategies to mitigate risks related to Financial Security.,Advanced,English,Financial Security
Securing Your Assets with Email Phishing Intro,Learn the fundamental principles of Email Phishing Intro and how to apply them in real-world scenarios.,Expert,Arabic,Email Phishing Intro
Best Practices for Using AI Safely,Explore advanced techniques and strategies to mitigate risks related to Using AI Safely.,Intermediate,English,Using AI Safely
The Complete Guide to Operation Technology,Learn the fundamental principles of Operation Technology and how to apply them in real-world scenarios.,Beginner,Arabic,Operation Technology
Navigating the World of Bring Your Own Device (BYOD),This module focuses on the practical implementation of Bring Your Own Device (BYOD) security measures.,Intermediate,Arabic,Bring Your Own Device (BYOD)
Advanced Strategies in Threat Actors,"This course provides an in-depth look at Threat Actors, covering key concepts and practical applications.",Expert,Arabic,Threat Actors
Securing Your Assets with Ransomware,Learn the fundamental principles of Ransomware and how to apply them in real-world scenarios.,Beginner,English,Ransomware
Understanding ATM Security,"This course provides an in-depth look at ATM Security, covering key concepts and practical applications.",Intermediate,Arabic,ATM Security
Essentials of Clean Office Policy,Understand the latest trends and challenges in Clean Office Policy and how to effectively address them.,Intermediate,Arabic,Clean Office Policy
Understanding Social engineering,Learn the fundamental principles of Social engineering and how to apply them in real-world scenarios.,Expert,Arabic,Social engineering
Advanced Strategies in Cloud Security,"A comprehensive overview of Cloud Security, designed for both beginners and experienced professionals.",Advanced,Arabic,Cloud Security
The Complete Guide to Insider Threat,Understand the latest trends and challenges in Insider Threat and how to effectively address them.,Expert,English,Insider Threat
Navigating the World of Continuity,Develop robust policies and procedures to enhance your organization's Continuity posture.,Beginner,Arabic,Continuity
Navigating the World of Cloud Security,This module focuses on the practical implementation of Cloud Security security measures.,Advanced,English,Cloud Security
Best Practices for USB Attacks,Gain critical insights into USB Attacks and its impact on modern cybersecurity.,Intermediate,Arabic,USB Attacks
Introduction to Real attacks,"This course provides an in-depth look at Real attacks, covering key concepts and practical applications.",Expert,English,Real attacks
Essentials of PII,"A comprehensive overview of PII, designed for both beginners and experienced professionals.",Beginner,English,PII
Best Practices for Security Controls,"A comprehensive overview of Security Controls, designed for both beginners and experienced professionals.",Expert,English,Security Controls
Understanding PII,"A comprehensive overview of PII, designed for both beginners and experienced professionals.",Expert,English,PII
Understanding Web Attacks,"A comprehensive overview of Web Attacks, designed for both beginners and experienced professionals.",Intermediate,Arabic,Web Attacks
Best Practices for Telework,Learn the fundamental principles of Telework and how to apply them in real-world scenarios.,Advanced,English,Telework
The Complete Guide to Threat Actors,"A comprehensive overview of Threat Actors, designed for both beginners and experienced professionals.",Beginner,English,Threat Actors
Essentials of Mobile Security,Understand the latest trends and challenges in Mobile Security and how to effectively address them.,Intermediate,Arabic,Mobile Security
The Complete Guide to Business Email Compromise,"A comprehensive overview of Business Email Compromise, designed for both beginners and experienced professionals.",Intermediate,English,Business Email Compromise
Essentials of Ransomware,Develop robust policies and procedures to enhance your organization's Ransomware posture.,Expert,English,Ransomware
Mastering Mobile Security for Professionals,"A comprehensive overview of Mobile Security, designed for both beginners and experienced professionals.",Expert,Arabic,Mobile Security
Understanding Ransomware,Develop robust policies and procedures to enhance your organization's Ransomware posture.,Advanced,Arabic,Ransomware
